"Story","Title","Result","Date","Stability","Duration (s)"
"Sign up","Sign up successful","SUCCESS","2021-02-16T20:41:10.6242731-05:00[America/Bogota]","0.0","33.65"
"Sign up","Sign up with wrong email","SUCCESS","2021-02-16T20:41:44.2925303-05:00[America/Bogota]","0.0","60.09"
