"Story","Title","Result","Date","Stability","Duration (s)"
"Sign up","Sign up with <testCase>","PENDING","2021-02-15T18:19:17.7422538-05:00[America/Bogota]","0.0","21.54"
"Sign up","Sign up successful","SUCCESS","2021-02-16T19:17:05.8848148-05:00[America/Bogota]","0.0","30.52"
"Sign up","Sign up with wrong email","SUCCESS","2021-02-16T19:17:36.439244-05:00[America/Bogota]","0.0","45.31"
